Name,Bereich,Link,Email,Ort,Hinweis,Einrichtung,Standort,Status (Trinh),Webseite,Art,Niveau,Aktion,Gmail,Startdatum,Status Phuong|Hofa,Status - Trung (Hanoi),Status Minh (Berlin),Cong|Refa|München,Last edited time,Status Quynh|Hofa
Sie mögen guten Service? Werden Sie Restaurantfachfrau m/w/d,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurantfachmann%2F-frau&wo=Berlin&umkreis=25&id=10000-1192086817-S,bahr.mitzscherlich@mail.de,Berlin,,Gasthaus Lindow/Hofgeflüster Uwe Bahr u. Rico Mitzscherlich,"Paul-Singer-Str. 42, 16321 Bernau bei Berlin",,,Gastronomie,,,,ab 01.08.2023,Not started,Not started,2. Email gesendet,Not started,"February 13, 2023 8:37 PM",Not started
Ein Hauch Frankreichs in Berlin! Restaurantfachmann/ -frau,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurantfachmann%2F-frau&wo=Berlin&umkreis=25&id=10000-1191077991-S,fred@entrecote.de,Berlin,,Entrecôte Gaststätten GmbH Restaurant Entrecôte,"Schützenstr. 5, 10117 Berlin",,,Gastronomie,,,,ab 01.02.2023,Not started,Not started,Email gesendet,Not started,"January 16, 2023 8:59 PM",Not started
Ausbildung zum/ zur Restaurantfachmann/-frau (m/w/d),Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurantfachmann%2F-frau&wo=Berlin&umkreis=25&id=10000-1191018098-S,debourdon@classic-driver.eu,Berlin,3 Jahre,Classic Driver Food Concept GmbH,"• Wiebestr. 36-37, 10553 Berlin",,,Gastronomie,,,,ab 01.02.2023,Not started,Not started,Archiv,Not started,"February 22, 2023 6:26 PM",Not started
Restaurant & Café Fresko,,https://www.ausbildung.de/stellen/ausbildung-fachkraft-fuer-gastronomie-m-w-d-bei-sbr-ggmbh-in-stuttgart-09410545-1d97-47d9-9be5-6be8bab2949f/?utm_campaign=externe_jobboerse&utm_medium=externe_jobboerse&utm_source=backinjob,bewerbungen@sbr-ggmbh.de,Stuttgart,,Restaurant & Café Fresko,"Restaurant & Café Fresko - Konrad-Adenauer-Straße 28, 70173 Stuttgart",,,Restaurant,,,,Nach Absprache,Not started,2. Email gesendet,Not started,Not started,"February 11, 2023 2:58 PM",Not started
Wyndham Stuttgart Airport Messe,,https://www.azubiyo.de/stellenanzeigen/-ausbildung-restaurantfachmann-frau-m-w-d-stuttgar_grand-city_d5e2e33b/?utm_source=Jobsuma&utm_medium=cpc&utm_campaign=Jumpforward,recruiting@gchhotelgroup.com,Stuttgart,,Wyndham Stuttgart Airport Messe,,,,Restaurant,,,,01.08.2023,Not started,2. Email gesendet,Not started,Not started,"February 11, 2023 3:08 PM",Not started
E. Breuninger GmbH & Co.,,https://www.ausbildung.de/stellen/ausbildung-als-restaurantfachmann-m-w-d-bei-e-breuninger-gmbh-co-in-stuttgart-2291c896-0f7a-484f-a33b-69b672ee3623/?utm_campaign=externe_jobboerse&utm_medium=externe_jobboerse&utm_source=backinjob,,Stuttgart,,E. Breuninger GmbH & Co.,"Marktstraße 1-3, 70173 Stuttgart",,,Restaurant,,,,01.09.2023,Not started,Archiv,Not started,Not started,"January 24, 2023 4:21 AM",Not started
https://www.stepstone.de/cmp/de/Maritim-Hotel-Stuttgart-259197/jobs.html,,https://www.stepstone.de/stellenangebote--ausbildung-zur-fachkraft-fuer-gastronomie-m-w-d-2-jaehrige-ausbildung-stuttgart-maritim-hotel-stuttgart--9067785-inline.html?&click=yes&cid=MsearchE_backinjob___4,karriere@maritim.de,Stuttgart,,https://www.stepstone.de/cmp/de/Maritim-Hotel-Stuttgart-259197/jobs.html,,,,Restaurant,,,,28. August 2023,Not started,2. Email gesendet,Not started,Not started,"February 11, 2023 2:59 PM",Not started
Mövenpick Hotel Stuttgart Airport,,https://www.stepstone.de/stellenangebote--auszubildende-fachkraft-fuer-restaurant-und-veranstaltungsgastronomie-m-w-d-ab-september-2023-stuttgart-moevenpick-hotel-stuttgart-airport--8683973-inline.html?&click=yes&cid=MsearchE_backinjob___4,,Stuttgart,,Mövenpick Hotel Stuttgart Airport,,,,Hotel,,,,ab September 2023,Not started,Archiv,Not started,Not started,"January 24, 2023 5:23 AM",Not started
https://www.azubi.de/unternehmen/1098806-p-mcdonald-s,,https://www.azubi.de/ausbildungsplatz/6277450-p-ausbildung-fachmann-frau-fuer-systemgastronomie-m-w-d?channable=02c236696400363237373435304b&utm_source=ideenkraftwerk&utm_medium=cpc&utm_campaign=0002-azubi-psa-all_jobs,,Stuttgart,,https://www.azubi.de/unternehmen/1098806-p-mcdonald-s,,,,Restaurant,,,,,Not started,Archiv,Not started,Not started,"January 26, 2023 6:47 PM",Not started
Hier wird deine Ausbildung Fondtastisch!,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurantfachkraft&wo=Berlin&umkreis=25&id=10000-1191095019-S,lars.kettenbeil@gmx.de,Berlin,,Fonduewelt Eventgastro UG (haftungsbeschränkt),"Im Saatwinkel 15, 13599 Berlin",,,Gastronomie,,,,ab 01.04.2023,Not started,Not started,2. Email gesendet,Not started,"February 13, 2023 8:53 PM",Not started
Restaurant sucht Azubi (m/w/d)!!,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1191355783-S,hanschmann@robbengatter.de,Berlin,Absage weil keine Wohnung,Robbengatter Restaurant-Betriebs-GbR,,,,Gastronomie,,,,ab 01.02.2023,Not started,Not started,Absage,Not started,"February 22, 2023 6:29 PM",Not started
Italienisches Restaurant mit Leidenschaft sucht Verstärkung!,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1190932134-S,tdcapitano@live.de,Berlin,,Stanislao Mattera Iacono Ristorante Capitano,"Eichhorster Weg 9, 13435 Berlin",,,Gastronomie,,,,ab 01.02.2023,Not started,Not started,2. Email gesendet,Not started,"February 13, 2023 9:08 PM",Not started
Ausbildung zur Fachkraft für Gastronomie 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1192526461-S,info@wildematilde.de,Berlin,,Rose Investment Group GmbH,"Alexanderstr. 3, 10178 Berlin",,,Gastronomie,,,,ab sofort,Not started,Not started,2. Email gesendet,Not started,"February 13, 2023 8:51 PM",Not started
Ausbildung zur Fachkraft Gastronomie 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1193225549-S,,Berlin,Kopie von Rose,Glückskind Concept GmbH,"Rathausstr. 23, 10178 Berlin",,,Gastronomie,,,,,Not started,Not started,Archiv,Not started,"March 19, 2023 9:51 PM",Not started
Ausbildung Fachmann/frau für Restaurants und Veranstaltungsorganisation ab 01.02.2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1192722546-S,info@hotel-christophorus.com,Berlin,,Hotel Christophorus-Haus Evangelisches Johannesstift,"Schönwalder Allee 26, 13587 Berlin",,,Hotel,,,,ab 01.02.2023,Not started,Not started,Bewerbungsgespräch,Not started,"March 1, 2023 9:22 AM",Not started
Fachmann/-frau - Restaurants und Veranstaltungsgastronomie (m/w/d),Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1190980434-S,pascal@pepperconsalting.de,Berlin,Zu spät gemeldet,Graefekiez 21 GmbH/ Restaurant Lausebengel,"Grimmstr. 21, 10967 Berlin",,,Restaurant,,,,ab 01.09.2023,Not started,Not started,Archiv,Not started,"February 22, 2023 6:27 PM",Not started
,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1192317613-S,,Berlin,B2,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=bPa59-T7TUwqpYEmss_UoFfwEwEiyoMhjcK7T89nKJk%3D__del__Mosaik-%20Services%20Integrationsgesellschaft%20mbH%20Gastronomische%20Einrichtungen,ab 01.02.2023,,,,,,,,Not started,Not started,Archiv,Not started,"January 18, 2023 10:12 PM",Not started
Ausbildung: Fachkraft Gastgewerbe (w/m/d) in Spandau ab Mai 2023,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1192215541-S,im-uferpalais@katharinenhof.net,Berlin,Absage,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=nWwMSBX9WxvYemXDyVF9nVF97Bxet61ShmXYjPxYxaM%3D__del__KATHARINENHOF%20Seniorenwohn-%20und%20Pflegeanlage%20Betriebs%20GmbH%20%22Im%20Uferpalais%22,ab 01.05.2023,,,,,,,,Not started,Not started,Absage,Not started,"February 22, 2023 6:27 PM",Not started
,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1191229295-S,,Berlin,Deutsch Expertenkenntnisse,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=AYO6by_BtLbpJJtx7o_lGhD2OlK4wFY2dTcEv_lzAm4%3D__del__Terzi%20%26%20Gerstner%20GmbH,ab 01.02.2023,,,,,,,,Not started,Not started,Archiv,Not started,"January 18, 2023 10:14 PM",Not started
,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1192562377-S,,Berlin,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=4K0gKSbRWLtzbvQoz0KPX3twWKAPWP1EBW9705MifG4%3D__del__Ikea%20Deutschland%20GmbH%20%26%20Co%20KG,ab 01.09.2023,,,,,,,,Not started,Not started,Email gesendet,Not started,"January 18, 2023 10:26 PM",Not started
,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1190866919-S,,Berlin,,Gastronomische Betriebe B. Sodhi GmbH,ab 01.02.2023,,,,,,,,Not started,Not started,Email gesendet,Not started,"January 19, 2023 12:44 AM",Not started
,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1190855941-S,k.kaltwasser@mcdonalds-xo.de,Berlin,,KKA 22 GmbH & Co. KG,,,,,,,,ab 01.08.2023,Not started,Not started,Email gesendet,Not started,"January 20, 2023 8:36 PM",Not started
,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1191789142-S,info@jab-concept.de,Berlin,,JAB Concept gGmbH,ab 01.02.2023,,,,,,,,Not started,Not started,2. Email gesendet,Not started,"February 13, 2023 8:50 PM",Not started
,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1191783467-S,,Berlin,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=MMqYRGbSwwrNdDZ9f08d4AmJlb2o-MCYBZ8jojwcAEY%3D__del__Privathotels%20Dr.%20Lohbeck%20GmbH%20%26%20Co%20KG%20Seehotel%20Berlin%20Rangsdorf,,,,,,,,ab 01.08.2023,Not started,Not started,Email gesendet,Not started,"January 23, 2023 6:58 PM",Not started
,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1192314913-S,jobs@goldenesm.de,Berlin,,Goldenes M Gropius GmbH,,,,,,,,ab 01.08.2023,Not started,Not started,Email gesendet,Not started,"January 20, 2023 9:03 PM",Not started
,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1192314151-S,,Berlin,schon beworben,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=ZNlHS71zKabpmkwD81CppsyJjCURbmZz90xlQi7e154%3D__del__K%C3%B6%20Restaurant%20KG,,,,,,,,ab 01.08.2023,Not started,Not started,Archiv,Not started,"February 7, 2023 5:16 PM",Not started
Hardo Trautmann Restaurant Seeteufel,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1191036998-S,Hardo_Trautmann@gmx.de,Berlin,,Hardo Trautmann Restaurant Seeteufel,"Hallen, Am Borsigturm 2, 13507 Berlin",,,,,,,ab 01.02.2023,Not started,Not started,Absage,Not started,"February 6, 2023 6:03 PM",Not started
,Restaurant,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Berlin&umkreis=25&id=10000-1191667711-S,schlossdiedersdorf@t-online.de,Berlin,,Thomas Worm e.K.,,,,,,,,ab 01.08.2023,Not started,Not started,2. Email gesendet,Not started,"February 13, 2023 9:07 PM",Not started
Pier 51 Restaurant GmbH & Co. KG,,https://www.hogapage.de/jobs/auszubildende-fachfrau-mann-fuer-restaurants-und-veranstaltungsgastronomie-in-stuttgart/E3A934/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,info@pier51-stuttgart.de,Stuttgart,,,,,https://pier51-stuttgart.de/,,,,,Ab sofort,Not started,Abgesagt,Not started,Not started,"February 11, 2023 2:48 PM",Not started
Vujicic Gastro GmbH & Co. KG,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1188529063-S,,Stuttgart,,,Uhingen,,,,,,,ab 01.09.2023,Not started,2. Email gesendet,Not started,Not started,"February 11, 2023 3:04 PM",Not started
Hotel Restaurant Maitre Wolfshörndl Gaststätten- Betriebs GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191866003-S,info@hotel-maitre.de,Stuttgart,,,Wernau (Neckar),,,,,,,ab 01.09.2023,Not started,2. Email gesendet,Not started,Not started,"February 11, 2023 3:11 PM",Not started
Restaurant Stumpenhof GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191677921-S,restaurant@stumpenhof.de,Stuttgart,,,Plochingen,,,,,,,ab 01.09.2023,Not started,2. Email gesendet,Not started,Not started,"February 11, 2023 3:18 PM",Not started
Hotel Restaurant Kelter Ewald Rayher,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191550947-S,kelter-esslingen@t-online.de,Stuttgart,,,Esslingen am Neckar,,,,,,,ab 01.09.2023,Not started,2. Email gesendet,Not started,Not started,"February 11, 2023 3:20 PM",Not started
https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=2FH9ukzxuEaqKE8Ngwm7w91hE9wilZkMb_EwPfieSVE%3D__del__Jehle%20Gastronomie-%20Betriebsgesellschaft%20mbH%20Palmscher%20Bau,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1189226239-S,info@palmscher-bau.de,Stuttgart,,,Esslingen am Neckar,,,,,,,ab 01.09.2023,Not started,2. Email gesendet,Not started,Not started,"February 11, 2023 3:23 PM",Not started
https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=-RxBi7CNF4d9u-LmnEcx5sHvbjGhoETCQkSMdzFbnSM%3D__del__Friedewald%20Restaurant%20GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191018848-S,en@mcd24.com,Stuttgart,,,"Leonberg, Württemberg",,,,,,,ab 09.09.2023,Not started,Zusage,Not started,Not started,"February 11, 2023 2:49 PM",Not started
AccorInvest Germany GmbH Mercure Hotel Stuttgart Airport Messe,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1190626183-S,H1574-gm@accor.com,Stuttgart,Englisch,,Stuttgart,,,,,,,ab 01.09.2023,Not started,2. Email gesendet,Not started,Not started,"February 11, 2023 3:14 PM",Not started
Restaurant Basilikum,,https://www.hogapage.de/jobs/auszubildende-restaurantfachfrau-mann-in-t%C3%BCbingen/5FELAP/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,,Stuttgart,passt nicht,,Tübingen,,,,,,,Ab sofort,Not started,Archiv,Not started,Not started,"January 27, 2023 12:19 PM",Not started
Köhle-Hotel-Betriebs GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191707287-S,kontakt@goldenerpflug.info,Stuttgart,,,Ludwigsburg,,,,,,,01.08.2023,Not started,2. Email gesendet,Not started,Not started,"February 11, 2023 3:25 PM",Not started
Restaurant am Golfplatz Philip Reise Gastro & Catering GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191173256-S,info@restaurant-golfplatz.de,Stuttgart,,,Kirchheim unter Teck,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"January 27, 2023 1:55 PM",Not started
Burghotel und Restaurant Staufeneck GmbH & Co. KG,,https://www.hogapage.de/jobs/auszubildende-fachfrau-mann-fuer-restaurants-und-veranstaltungsgastronomie-in-salach/A7VNRV/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt,Über die Webseite von der Firma beworben,Stuttgart,,,Salach,,,,,,,Ab sofort,Email ready,Email gesendet,Not started,Not started,"February 8, 2023 8:34 PM",Not started
Schlegel GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1185550655-S,i.jeggle@ochsen-kernen.de,Stuttgart,,,Kernen im Remstal,,,,,,,ab sofort,Not started,Email gesendet,Not started,Not started,"February 8, 2023 9:25 PM",Not started
Pietro Di Nicola Gaststätte Basilikum,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191818514-S,dinicola@ristorantebasilikum.de,Stuttgart,,,Tübingen,,,,,,,ab sofort,Not started,Email gesendet,Not started,Not started,"February 8, 2023 9:31 PM",Not started
Hotel Adler Ottenbacher GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1190682028-S,info@adler-asperg.de,Stuttgart,,,Asperg,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 8, 2023 9:27 PM",Not started
Plate Restaurant Event GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1190270952-S,info@japengo.eu,Stuttgart,,,Tübingen,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 8, 2023 9:53 PM",Not started
Hotel am Schloßberg GmbH & Co. KG,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191421331-S,sc04@schlossberg.bestwestern.de,Stuttgart,,,Nürtingen,,,,,,,ab sofort,Not started,Email gesendet,Not started,Not started,"February 8, 2023 10:03 PM",Not started
Landgasthof Seehaus Inh. Andreas Jöchle,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191964990-S,info@seehauspforzheim.de,Stuttgart,,,Pforzheim,,,,,,,ab sofort,Not started,Email gesendet,Not started,Not started,"February 8, 2023 10:27 PM",Not started
Nestor Hotel Objekt Ludwigsburg GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191091207-S,bewerbung.ludwigsburg@nestor-hotels.de,Stuttgart,,,"Ludwigsburg, Württemberg",,,,,,,ab 01.08.2023,Not started,Email gesendet,Not started,Not started,"February 13, 2023 9:56 PM",Not started
Finkbeiner Hotel Beteiligungs Gmbh & Co. KG Schloßhotel Monrepos,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191075728-S,personalabteilung@schlosshotel-monrepos.de,Stuttgart,,,"Ludwigsburg, Württemberg",,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 13, 2023 10:03 PM",Not started
Nestor Hotel Objekt Ludwigsburg GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1190471638-S,doppelt,Stuttgart,,,"Ludwigsburg, Württemberg",,,,,,,ab 01.08.2023,Not started,Not started,Not started,Not started,"February 13, 2023 8:47 PM",Not started
Talblick GmbH Hotel und Restaurant,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1188413246-S,info@talblick-auendorf.de,Stuttgart,,,Bad Ditzenbach,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 13, 2023 10:07 PM",Not started
https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=IZcJV72rl25XteocxyWGU8L9AR0_1_OU5dIVLUc87HU%3D__del__Klaus%20Winter%20Restaurant%20Landhotel%20Winter,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1189951685-S,info@restaurant-landhotel-winter.de,Stuttgart,,,Gomadingen,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 13, 2023 10:10 PM",Not started
Hotel Gloria GmbH Restaurant Möhringer Hexle,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1189466520-S,office@hotelgloria.de,Stuttgart,,,Stuttgart,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 13, 2023 10:12 PM",Not started
Hotel & Restaurant Sonne GmbH & Co. KG,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1191875886-S,info@sonne-rudersberg.de,Stuttgart,,,"Rudersberg, Württemberg",,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 13, 2023 10:16 PM",Not started
Restaurant am Golfpark Ulrich Stroh,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1192014998-S,info@restaurantamgolfpark.de,Stuttgart,,,Göppingen,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 21, 2023 11:44 PM",Not started
https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=aZSaiAI1M3-2hwfppXz9ItZSU10dtRZUH_Dz6InSSm4%3D__del__Plate%20Restaurant%20Event%20GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1190270856-S,doppelt,Stuttgart,,,Tübingen,,,,,,,ab 01.09.2023,Not started,Not started,Not started,Not started,"February 21, 2023 10:49 PM",Not started
Hotel Restaurant Schwanen Wetzel GmbH & Co. KG,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1189138202-S,guertner@schwanen-metzingen.de,Stuttgart,,,Metzingen,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 21, 2023 11:47 PM",Not started
Hotel & Restaurant Sonne GmbH & Co. KG,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1187251569-S,doppelt,Stuttgart,,,Rudersberg,,,,,,,ab sofort,Not started,Not started,Not started,Not started,"February 21, 2023 11:08 PM",Not started
Restaurant TRESOR Lorenc Lleshaj,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1190983762-S,info@cafetresor.de,Stuttgart,,,Göppingen,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 21, 2023 11:49 PM",Not started
https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&kundennummer=evZle5HqJq2SXjo73I8mCMhQGp2vuRXpHjl4yTDl6zE%3D__del__Burghotel%20und%20Restaurant%20Staufeneck%20GmbH%20%26%20Co.%20KG,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1190574676-S,doppelt,Stuttgart,,,Salach,,,,,,,ab 01.09.2023,Not started,Not started,Not started,Not started,"February 21, 2023 11:16 PM",Not started
Romantik Hotel + Restaurant Hirsch Gerd Windhösel GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&was=Restaurant&wo=Stuttgart&umkreis=50&berufsfeld=Gastronomie&id=10000-1189457605-S,info@romantikhotel-hirsch.de,Stuttgart,,,Sonnenbühl,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 21, 2023 11:50 PM",Not started
Deutsche Bahn AG,,https://jobs.jobspreader.com/viewjob-wdaa5?utm_source=jsba-premium&utm_medium=n-a&utm_campaign=logistik&utm_term=ausbildung-fachkraft-fur-gastronomie-2023-w-m-d,"Keine Email, nur über ihr Internetportal",Stuttgart,,,Stuttgart,,,,,,,,Not started,Not started,Not started,Not started,"February 21, 2023 11:30 PM",Not started
Afonso Gastronomie GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&wo=Stuttgart&umkreis=10&beruf=Fachkraft%20-%20Gastronomie;Fachmann%2F-frau%20-%20Restaurants%20und%20Veranstaltungsgastronomie;Fachmann%2F-frau%20-%20Systemgastronomie&id=10000-1191218278-S,info@subway-ag.de,Stuttgart,,,Stuttgart,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 21, 2023 11:52 PM",Not started
Kickers Sportpark Gastronomie Rörich GmbH,,https://www.arbeitsagentur.de/jobsuche/suche?angebotsart=4&wo=Stuttgart&umkreis=10&beruf=Fachkraft%20-%20Gastronomie;Fachmann%2F-frau%20-%20Restaurants%20und%20Veranstaltungsgastronomie;Fachmann%2F-frau%20-%20Systemgastronomie&id=10000-1190588146-S,karriere@kickers-clubrestaurant.de,Stuttgart,,,Stuttgart,,,,,,,ab 01.09.2023,Not started,Email gesendet,Not started,Not started,"February 22, 2023 6:35 PM",Not started
